"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестовые данные для проверки негативных сценариев оформления заказа","860","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-07","passed","2026-09-07","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка выхода из аккаунта через бургер меню","1586","logout","Surefire suite","2026-09-07","passed","2026-09-07","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Авторизация с валидными данными","475","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-09-07","passed","2026-09-07","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Тестовые данные для проверки негативных сценариев оформления заказа","835","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-07","passed","2026-09-07","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка кнопки 'Checkout' на странице 'Корзина'","699","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-09-07","passed","2026-09-07","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Проверка авторизации с невалидными данными","494","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-07","passed","2026-09-07","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","572","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-09-07","passed","2026-09-07","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверить нажатие кнопки Remove","582","checkRemoveItem","Surefire suite","2026-09-07","passed","2026-09-07","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Сделать заказ с валидными данными","849","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-09-07","passed","2026-09-07","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Проверка авторизации с невалидными данными","479","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-07","passed","2026-09-07","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка авторизации с невалидными данными","438","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-07","passed","2026-09-07","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленного товара","604","checkAddBucketItem","Surefire suite","2026-09-07","passed","2026-09-07","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Тестовые данные для проверки негативных сценариев оформления заказа","828","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-07","passed","2026-09-07","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить соответствие имени и цены добавленных товаров","724","checkAddBucketSomeItems","Surefire suite","2026-09-07","passed","2026-09-07","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
