"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверить соответствие имени и цены добавленного товара","627","checkAddBucketItem","Surefire suite","2026-07-27","passed","2026-07-27","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Тестовые данные для проверки негативных сценариев оформления заказа","868","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-27","passed","2026-07-27","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка выхода из аккаунта через бургер меню","1607","logout","Surefire suite","2026-07-27","passed","2026-07-27","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Тестовые данные для проверки негативных сценариев оформления заказа","898","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-27","passed","2026-07-27","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить нажатие кнопки Remove","581","checkRemoveItem","Surefire suite","2026-07-27","passed","2026-07-27","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверить соответствие имени и цены добавленных товаров","696","checkAddBucketSomeItems","Surefire suite","2026-07-27","passed","2026-07-27","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Сделать заказ с валидными данными","909","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-07-27","passed","2026-07-27","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Проверка авторизации с невалидными данными","438","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка авторизации с невалидными данными","452","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","588","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-07-27","passed","2026-07-27","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверка кнопки 'Checkout' на странице 'Корзина'","736","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-07-27","passed","2026-07-27","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Тестовые данные для проверки негативных сценариев оформления заказа","1264","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-27","passed","2026-07-27","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка авторизации с невалидными данными","437","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Авторизация с валидными данными","469","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
