"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка авторизации с невалидными данными","552","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-14","passed","2026-09-14","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","720","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-09-14","broken","2026-09-14","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверка авторизации с невалидными данными","517","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-14","passed","2026-09-14","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленного товара","670","checkAddBucketItem","Surefire suite","2026-09-14","passed","2026-09-14","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Тестовые данные для проверки негативных сценариев оформления заказа","935","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-14","passed","2026-09-14","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка кнопки 'Checkout' на странице 'Корзина'","1558","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-09-14","passed","2026-09-14","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Проверка авторизации с невалидными данными","523","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-14","passed","2026-09-14","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Авторизация с валидными данными","552","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-09-14","passed","2026-09-14","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Тестовые данные для проверки негативных сценариев оформления заказа","958","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-14","passed","2026-09-14","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка выхода из аккаунта через бургер меню","1691","logout","Surefire suite","2026-09-14","passed","2026-09-14","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Тестовые данные для проверки негативных сценариев оформления заказа","671","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-14","broken","2026-09-14","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить соответствие имени и цены добавленных товаров","739","checkAddBucketSomeItems","Surefire suite","2026-09-14","passed","2026-09-14","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Проверить нажатие кнопки Remove","655","checkRemoveItem","Surefire suite","2026-09-14","passed","2026-09-14","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Сделать заказ с валидными данными","925","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-09-14","passed","2026-09-14","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
