"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестовые данные для проверки негативных сценариев оформления заказа","812","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-01","passed","2026-09-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","841","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-01","passed","2026-09-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","588","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-09-01","passed","2026-09-01","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверить нажатие кнопки Remove","609","checkRemoveItem","Surefire suite","2026-09-01","passed","2026-09-01","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверка авторизации с невалидными данными","438","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-01","passed","2026-09-01","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","812","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-01","passed","2026-09-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить соответствие имени и цены добавленных товаров","657","checkAddBucketSomeItems","Surefire suite","2026-09-01","passed","2026-09-01","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Проверка авторизации с невалидными данными","445","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-01","passed","2026-09-01","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленного товара","617","checkAddBucketItem","Surefire suite","2026-09-01","passed","2026-09-01","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверка кнопки 'Checkout' на странице 'Корзина'","644","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-09-01","passed","2026-09-01","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Сделать заказ с валидными данными","814","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-09-01","passed","2026-09-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Проверка авторизации с невалидными данными","456","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-01","passed","2026-09-01","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка выхода из аккаунта через бургер меню","1603","logout","Surefire suite","2026-09-01","passed","2026-09-01","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Авторизация с валидными данными","624","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-09-01","passed","2026-09-01","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
