"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка выхода из аккаунта через бургер меню","1701","logout","Surefire suite","2026-06-19","passed","2026-06-19","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Тестовые данные для проверки негативных сценариев оформления заказа","919","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-19","passed","2026-06-19","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","633","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-06-19","passed","2026-06-19","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверка авторизации с невалидными данными","481","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-19","passed","2026-06-19","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Авторизация с валидными данными","515","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-06-19","passed","2026-06-19","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка авторизации с невалидными данными","479","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-19","passed","2026-06-19","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить нажатие кнопки Remove","630","checkRemoveItem","Surefire suite","2026-06-19","passed","2026-06-19","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверить соответствие имени и цены добавленных товаров","924","checkAddBucketSomeItems","Surefire suite","2026-06-19","passed","2026-06-19","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Проверка авторизации с невалидными данными","482","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-19","passed","2026-06-19","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Сделать заказ с валидными данными","929","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-06-19","passed","2026-06-19","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","932","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-19","passed","2026-06-19","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","934","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-19","passed","2026-06-19","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить соответствие имени и цены добавленного товара","1985","checkAddBucketItem","Surefire suite","2026-06-19","passed","2026-06-19","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверка кнопки 'Checkout' на странице 'Корзина'","703","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-06-19","passed","2026-06-19","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
