"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестовые данные для проверки негативных сценариев оформления заказа","918","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-30","passed","2026-06-30","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Авторизация с валидными данными","526","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-06-30","passed","2026-06-30","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка авторизации с невалидными данными","481","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-30","passed","2026-06-30","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленных товаров","783","checkAddBucketSomeItems","Surefire suite","2026-06-30","passed","2026-06-30","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Проверка выхода из аккаунта через бургер меню","1674","logout","Surefire suite","2026-06-30","passed","2026-06-30","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","648","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-06-30","passed","2026-06-30","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверить нажатие кнопки Remove","647","checkRemoveItem","Surefire suite","2026-06-30","passed","2026-06-30","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверка кнопки 'Checkout' на странице 'Корзина'","797","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-06-30","passed","2026-06-30","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Тестовые данные для проверки негативных сценариев оформления заказа","957","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-30","passed","2026-06-30","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить соответствие имени и цены добавленного товара","2231","checkAddBucketItem","Surefire suite","2026-06-30","passed","2026-06-30","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Сделать заказ с валидными данными","956","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-06-30","passed","2026-06-30","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","953","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-30","passed","2026-06-30","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка авторизации с невалидными данными","491","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-30","passed","2026-06-30","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка авторизации с невалидными данными","499","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-30","passed","2026-06-30","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
