"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка авторизации с невалидными данными","506","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-05-30","passed","2026-05-30","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","673","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-05-30","passed","2026-05-30","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Тестовые данные для проверки негативных сценариев оформления заказа","994","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-05-30","passed","2026-05-30","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить соответствие имени и цены добавленного товара","777","checkAddBucketItem","Surefire suite","2026-05-30","passed","2026-05-30","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверить нажатие кнопки Remove","701","checkRemoveItem","Surefire suite","2026-05-30","passed","2026-05-30","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверить соответствие имени и цены добавленных товаров","844","checkAddBucketSomeItems","Surefire suite","2026-05-30","passed","2026-05-30","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Проверка авторизации с невалидными данными","517","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-05-30","passed","2026-05-30","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Авторизация с валидными данными","3245","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-05-30","passed","2026-05-30","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Тестовые данные для проверки негативных сценариев оформления заказа","1105","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-05-30","passed","2026-05-30","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка кнопки 'Checkout' на странице 'Корзина'","742","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-05-30","passed","2026-05-30","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Сделать заказ с валидными данными","1079","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-05-30","passed","2026-05-30","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Проверка авторизации с невалидными данными","535","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-05-30","passed","2026-05-30","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка выхода из аккаунта через бургер меню","1756","logout","Surefire suite","2026-05-30","passed","2026-05-30","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Тестовые данные для проверки негативных сценариев оформления заказа","1067","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-05-30","passed","2026-05-30","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
