"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестовые данные для проверки негативных сценариев оформления заказа","916","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-08","passed","2026-08-08","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка выхода из аккаунта через бургер меню","1655","logout","Surefire suite","2026-08-08","passed","2026-08-08","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","698","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-08-08","passed","2026-08-08","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверка кнопки 'Checkout' на странице 'Корзина'","669","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-08-08","passed","2026-08-08","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Проверить нажатие кнопки Remove","587","checkRemoveItem","Surefire suite","2026-08-08","passed","2026-08-08","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверить соответствие имени и цены добавленного товара","636","checkAddBucketItem","Surefire suite","2026-08-08","passed","2026-08-08","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверка авторизации с невалидными данными","446","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-08","passed","2026-08-08","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленных товаров","714","checkAddBucketSomeItems","Surefire suite","2026-08-08","passed","2026-08-08","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Проверка авторизации с невалидными данными","433","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-08","passed","2026-08-08","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","2125","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-08","passed","2026-08-08","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Сделать заказ с валидными данными","918","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-08-08","passed","2026-08-08","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","919","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-08","passed","2026-08-08","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Авторизация с валидными данными","504","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-08-08","passed","2026-08-08","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка авторизации с невалидными данными","450","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-08","passed","2026-08-08","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
