"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверить соответствие имени и цены добавленного товара","756","checkAddBucketItem","Surefire suite","2026-05-29","passed","2026-05-29","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверка авторизации с невалидными данными","592","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-05-29","passed","2026-05-29","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленных товаров","837","checkAddBucketSomeItems","Surefire suite","2026-05-29","passed","2026-05-29","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Авторизация с валидными данными","1639","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-05-29","passed","2026-05-29","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверить нажатие кнопки Remove","734","checkRemoveItem","Surefire suite","2026-05-29","passed","2026-05-29","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверка авторизации с невалидными данными","604","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-05-29","passed","2026-05-29","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","1029","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-05-29","passed","2026-05-29","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка авторизации с невалидными данными","1693","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-05-29","passed","2026-05-29","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","792","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-05-29","passed","2026-05-29","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверка кнопки 'Checkout' на странице 'Корзина'","839","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-05-29","passed","2026-05-29","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Тестовые данные для проверки негативных сценариев оформления заказа","1063","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-05-29","passed","2026-05-29","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Сделать заказ с валидными данными","1042","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-05-29","passed","2026-05-29","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","1134","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-05-29","passed","2026-05-29","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка выхода из аккаунта через бургер меню","1740","logout","Surefire suite","2026-05-29","passed","2026-05-29","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
