"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверить соответствие имени и цены добавленных товаров","707","checkAddBucketSomeItems","Surefire suite","2026-06-01","passed","2026-06-01","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Проверка выхода из аккаунта через бургер меню","1669","logout","Surefire suite","2026-06-01","passed","2026-06-01","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","614","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-06-01","passed","2026-06-01","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверка авторизации с невалидными данными","467","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-01","passed","2026-06-01","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Сделать заказ с валидными данными","887","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-06-01","passed","2026-06-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Авторизация с валидными данными","877","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-06-01","passed","2026-06-01","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Тестовые данные для проверки негативных сценариев оформления заказа","889","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-01","passed","2026-06-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка авторизации с невалидными данными","455","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-01","passed","2026-06-01","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка авторизации с невалидными данными","489","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-01","passed","2026-06-01","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленного товара","636","checkAddBucketItem","Surefire suite","2026-06-01","passed","2026-06-01","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Тестовые данные для проверки негативных сценариев оформления заказа","869","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-01","passed","2026-06-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка кнопки 'Checkout' на странице 'Корзина'","659","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-06-01","passed","2026-06-01","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Тестовые данные для проверки негативных сценариев оформления заказа","901","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-01","passed","2026-06-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить нажатие кнопки Remove","598","checkRemoveItem","Surefire suite","2026-06-01","passed","2026-06-01","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
