"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Сделать заказ с валидными данными","937","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-07-05","passed","2026-07-05","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Проверить соответствие имени и цены добавленного товара","2109","checkAddBucketItem","Surefire suite","2026-07-05","passed","2026-07-05","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверить нажатие кнопки Remove","637","checkRemoveItem","Surefire suite","2026-07-05","passed","2026-07-05","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Тестовые данные для проверки негативных сценариев оформления заказа","979","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-05","passed","2026-07-05","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка авторизации с невалидными данными","501","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-05","passed","2026-07-05","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка авторизации с невалидными данными","546","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-05","passed","2026-07-05","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленных товаров","767","checkAddBucketSomeItems","Surefire suite","2026-07-05","passed","2026-07-05","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Тестовые данные для проверки негативных сценариев оформления заказа","928","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-05","passed","2026-07-05","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Авторизация с валидными данными","566","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-07-05","passed","2026-07-05","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Тестовые данные для проверки негативных сценариев оформления заказа","928","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-05","passed","2026-07-05","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка авторизации с невалидными данными","513","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-05","passed","2026-07-05","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","684","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-07-05","passed","2026-07-05","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверка выхода из аккаунта через бургер меню","1682","logout","Surefire suite","2026-07-05","passed","2026-07-05","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Проверка кнопки 'Checkout' на странице 'Корзина'","715","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-07-05","passed","2026-07-05","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
