"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка авторизации с невалидными данными","472","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-08","passed","2026-07-08","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","608","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-07-08","passed","2026-07-08","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверка авторизации с невалидными данными","448","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-08","passed","2026-07-08","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","982","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-08","passed","2026-07-08","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Сделать заказ с валидными данными","950","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-07-08","passed","2026-07-08","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Проверить соответствие имени и цены добавленного товара","2061","checkAddBucketItem","Surefire suite","2026-07-08","passed","2026-07-08","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверка выхода из аккаунта через бургер меню","1682","logout","Surefire suite","2026-07-08","passed","2026-07-08","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Проверить нажатие кнопки Remove","687","checkRemoveItem","Surefire suite","2026-07-08","passed","2026-07-08","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Тестовые данные для проверки негативных сценариев оформления заказа","910","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-08","passed","2026-07-08","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить соответствие имени и цены добавленных товаров","752","checkAddBucketSomeItems","Surefire suite","2026-07-08","passed","2026-07-08","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Проверка кнопки 'Checkout' на странице 'Корзина'","682","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-07-08","passed","2026-07-08","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Проверка авторизации с невалидными данными","472","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-08","passed","2026-07-08","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","941","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-08","passed","2026-07-08","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Авторизация с валидными данными","511","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-07-08","passed","2026-07-08","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
