"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка авторизации с невалидными данными","478","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-11","passed","2026-09-11","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","888","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-11","passed","2026-09-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить нажатие кнопки Remove","665","checkRemoveItem","Surefire suite","2026-09-11","passed","2026-09-11","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверить соответствие имени и цены добавленного товара","646","checkAddBucketItem","Surefire suite","2026-09-11","broken","2026-09-11","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","620","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-09-11","broken","2026-09-11","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверка выхода из аккаунта через бургер меню","1631","logout","Surefire suite","2026-09-11","passed","2026-09-11","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Проверка авторизации с невалидными данными","468","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-11","passed","2026-09-11","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","933","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-11","passed","2026-09-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Сделать заказ с валидными данными","930","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-09-11","passed","2026-09-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","690","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-11","broken","2026-09-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Авторизация с валидными данными","581","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-09-11","passed","2026-09-11","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверить соответствие имени и цены добавленных товаров","735","checkAddBucketSomeItems","Surefire suite","2026-09-11","passed","2026-09-11","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Проверка кнопки 'Checkout' на странице 'Корзина'","1354","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-09-11","passed","2026-09-11","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Проверка авторизации с невалидными данными","481","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-11","passed","2026-09-11","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
