"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Сделать заказ с валидными данными","855","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-08-29","passed","2026-08-29","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Проверить нажатие кнопки Remove","608","checkRemoveItem","Surefire suite","2026-08-29","passed","2026-08-29","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Тестовые данные для проверки негативных сценариев оформления заказа","841","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-29","passed","2026-08-29","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Авторизация с валидными данными","1197","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-08-29","passed","2026-08-29","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверить соответствие имени и цены добавленных товаров","694","checkAddBucketSomeItems","Surefire suite","2026-08-29","passed","2026-08-29","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Проверка авторизации с невалидными данными","495","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-29","passed","2026-08-29","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","643","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-08-29","passed","2026-08-29","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверка авторизации с невалидными данными","476","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-29","passed","2026-08-29","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","888","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-29","passed","2026-08-29","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка авторизации с невалидными данными","503","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-29","passed","2026-08-29","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка выхода из аккаунта через бургер меню","1620","logout","Surefire suite","2026-08-29","passed","2026-08-29","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Тестовые данные для проверки негативных сценариев оформления заказа","849","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-29","passed","2026-08-29","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка кнопки 'Checkout' на странице 'Корзина'","703","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-08-29","passed","2026-08-29","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Проверить соответствие имени и цены добавленного товара","628","checkAddBucketItem","Surefire suite","2026-08-29","passed","2026-08-29","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
