"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверить нажатие кнопки Remove","616","checkRemoveItem","Surefire suite","2026-08-24","passed","2026-08-24","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверка авторизации с невалидными данными","499","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-24","passed","2026-08-24","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","870","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-24","passed","2026-08-24","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка кнопки 'Checkout' на странице 'Корзина'","661","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-08-24","passed","2026-08-24","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Сделать заказ с валидными данными","851","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-08-24","passed","2026-08-24","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Проверка авторизации с невалидными данными","517","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-24","passed","2026-08-24","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленного товара","633","checkAddBucketItem","Surefire suite","2026-08-24","passed","2026-08-24","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверка авторизации с невалидными данными","472","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-24","passed","2026-08-24","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","893","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-24","passed","2026-08-24","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","618","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-08-24","passed","2026-08-24","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверить соответствие имени и цены добавленных товаров","731","checkAddBucketSomeItems","Surefire suite","2026-08-24","passed","2026-08-24","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Тестовые данные для проверки негативных сценариев оформления заказа","843","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-24","passed","2026-08-24","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Авторизация с валидными данными","1172","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-08-24","passed","2026-08-24","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка выхода из аккаунта через бургер меню","1661","logout","Surefire suite","2026-08-24","passed","2026-08-24","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
