"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка кнопки 'Checkout' на странице 'Корзина'","696","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-08-03","passed","2026-08-03","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Тестовые данные для проверки негативных сценариев оформления заказа","2302","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-03","passed","2026-08-03","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","950","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-03","passed","2026-08-03","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка авторизации с невалидными данными","471","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-03","passed","2026-08-03","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","938","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-03","passed","2026-08-03","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка авторизации с невалидными данными","466","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-03","passed","2026-08-03","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка авторизации с невалидными данными","465","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-03","passed","2026-08-03","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка выхода из аккаунта через бургер меню","1650","logout","Surefire suite","2026-08-03","passed","2026-08-03","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Авторизация с валидными данными","497","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-08-03","passed","2026-08-03","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","658","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-08-03","passed","2026-08-03","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверить соответствие имени и цены добавленных товаров","737","checkAddBucketSomeItems","Surefire suite","2026-08-03","passed","2026-08-03","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Сделать заказ с валидными данными","941","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-08-03","passed","2026-08-03","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Проверить соответствие имени и цены добавленного товара","640","checkAddBucketItem","Surefire suite","2026-08-03","passed","2026-08-03","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверить нажатие кнопки Remove","624","checkRemoveItem","Surefire suite","2026-08-03","passed","2026-08-03","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
