"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизация с валидными данными","474","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка выхода из аккаунта через бургер меню","1692","logout","Surefire suite","2026-07-25","passed","2026-07-25","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Проверка авторизации с невалидными данными","425","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленного товара","605","checkAddBucketItem","Surefire suite","2026-07-25","passed","2026-07-25","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Тестовые данные для проверки негативных сценариев оформления заказа","879","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-25","passed","2026-07-25","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить соответствие имени и цены добавленных товаров","786","checkAddBucketSomeItems","Surefire suite","2026-07-25","passed","2026-07-25","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Сделать заказ с валидными данными","900","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-07-25","passed","2026-07-25","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Проверка авторизации с невалидными данными","418","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","867","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-25","passed","2026-07-25","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","2980","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-25","passed","2026-07-25","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка кнопки 'Checkout' на странице 'Корзина'","663","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-07-25","passed","2026-07-25","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Проверить нажатие кнопки Remove","569","checkRemoveItem","Surefire suite","2026-07-25","passed","2026-07-25","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверка авторизации с невалидными данными","419","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","585","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-07-25","passed","2026-07-25","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
