"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестовые данные для проверки негативных сценариев оформления заказа","899","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-29","passed","2026-06-29","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить нажатие кнопки Remove","612","checkRemoveItem","Surefire suite","2026-06-29","passed","2026-06-29","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Авторизация с валидными данными","507","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-06-29","passed","2026-06-29","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка выхода из аккаунта через бургер меню","1639","logout","Surefire suite","2026-06-29","passed","2026-06-29","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Проверка авторизации с невалидными данными","467","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-29","passed","2026-06-29","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","907","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-29","passed","2026-06-29","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить соответствие имени и цены добавленных товаров","730","checkAddBucketSomeItems","Surefire suite","2026-06-29","passed","2026-06-29","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Проверить соответствие имени и цены добавленного товара","1752","checkAddBucketItem","Surefire suite","2026-06-29","passed","2026-06-29","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверка авторизации с невалидными данными","450","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-29","passed","2026-06-29","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка авторизации с невалидными данными","450","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-29","passed","2026-06-29","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка кнопки 'Checkout' на странице 'Корзина'","677","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-06-29","passed","2026-06-29","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","607","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-06-29","passed","2026-06-29","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Тестовые данные для проверки негативных сценариев оформления заказа","892","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-29","passed","2026-06-29","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Сделать заказ с валидными данными","910","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-06-29","passed","2026-06-29","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
