"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка авторизации с невалидными данными","452","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-22","passed","2026-09-22","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","494","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-22","broken","2026-09-22","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Сделать заказ с валидными данными","568","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-09-22","broken","2026-09-22","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Проверка авторизации с невалидными данными","550","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-22","passed","2026-09-22","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленного товара","442","checkAddBucketItem","Surefire suite","2026-09-22","broken","2026-09-22","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Тестовые данные для проверки негативных сценариев оформления заказа","527","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-22","broken","2026-09-22","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить нажатие кнопки Remove","467","checkRemoveItem","Surefire suite","2026-09-22","passed","2026-09-22","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","485","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-09-22","passed","2026-09-22","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверка авторизации с невалидными данными","439","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-22","passed","2026-09-22","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка кнопки 'Checkout' на странице 'Корзина'","2109","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-09-22","broken","2026-09-22","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Проверка выхода из аккаунта через бургер меню","792","logout","Surefire suite","2026-09-22","broken","2026-09-22","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Проверить соответствие имени и цены добавленных товаров","560","checkAddBucketSomeItems","Surefire suite","2026-09-22","broken","2026-09-22","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Авторизация с валидными данными","449","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-09-22","broken","2026-09-22","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Тестовые данные для проверки негативных сценариев оформления заказа","547","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-22","broken","2026-09-22","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
