"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","626","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-08-22","passed","2026-08-22","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверка авторизации с невалидными данными","485","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-22","passed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить нажатие кнопки Remove","610","checkRemoveItem","Surefire suite","2026-08-22","passed","2026-08-22","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Авторизация с валидными данными","987","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-08-22","passed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка авторизации с невалидными данными","479","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-22","passed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","930","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-22","passed","2026-08-22","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","937","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-22","passed","2026-08-22","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка кнопки 'Checkout' на странице 'Корзина'","714","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-08-22","passed","2026-08-22","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Тестовые данные для проверки негативных сценариев оформления заказа","943","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-22","passed","2026-08-22","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить соответствие имени и цены добавленного товара","658","checkAddBucketItem","Surefire suite","2026-08-22","passed","2026-08-22","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверка выхода из аккаунта через бургер меню","1677","logout","Surefire suite","2026-08-22","passed","2026-08-22","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Проверка авторизации с невалидными данными","523","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-22","passed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленных товаров","735","checkAddBucketSomeItems","Surefire suite","2026-08-22","passed","2026-08-22","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Сделать заказ с валидными данными","874","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-08-22","passed","2026-08-22","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
