"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверить нажатие кнопки Remove","617","checkRemoveItem","Surefire suite","2026-09-09","passed","2026-09-09","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверка авторизации с невалидными данными","433","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-09","passed","2026-09-09","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка кнопки 'Checkout' на странице 'Корзина'","1258","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-09-09","passed","2026-09-09","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Сделать заказ с валидными данными","911","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-09-09","passed","2026-09-09","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","846","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-09","passed","2026-09-09","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить соответствие имени и цены добавленного товара","667","checkAddBucketItem","Surefire suite","2026-09-09","passed","2026-09-09","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверка авторизации с невалидными данными","478","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-09","passed","2026-09-09","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","853","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-09","passed","2026-09-09","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка авторизации с невалидными данными","471","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-09-09","passed","2026-09-09","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленных товаров","700","checkAddBucketSomeItems","Surefire suite","2026-09-09","passed","2026-09-09","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Тестовые данные для проверки негативных сценариев оформления заказа","853","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-09-09","passed","2026-09-09","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Авторизация с валидными данными","538","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-09-09","passed","2026-09-09","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка выхода из аккаунта через бургер меню","1634","logout","Surefire suite","2026-09-09","passed","2026-09-09","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","613","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-09-09","passed","2026-09-09","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
