"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка авторизации с невалидными данными","440","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленного товара","626","checkAddBucketItem","Surefire suite","2026-07-29","passed","2026-07-29","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверить нажатие кнопки Remove","604","checkRemoveItem","Surefire suite","2026-07-29","passed","2026-07-29","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Сделать заказ с валидными данными","935","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-07-29","passed","2026-07-29","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","925","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-29","passed","2026-07-29","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка выхода из аккаунта через бургер меню","1652","logout","Surefire suite","2026-07-29","passed","2026-07-29","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Тестовые данные для проверки негативных сценариев оформления заказа","927","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-29","passed","2026-07-29","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","630","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-07-29","passed","2026-07-29","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Тестовые данные для проверки негативных сценариев оформления заказа","2475","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-29","passed","2026-07-29","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка авторизации с невалидными данными","445","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Авторизация с валидными данными","465","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверить соответствие имени и цены добавленных товаров","704","checkAddBucketSomeItems","Surefire suite","2026-07-29","passed","2026-07-29","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Проверка кнопки 'Checkout' на странице 'Корзина'","668","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-07-29","passed","2026-07-29","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Проверка авторизации с невалидными данными","433","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-29","passed","2026-07-29","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
