"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка авторизации с невалидными данными","434","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-21","passed","2026-07-21","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка авторизации с невалидными данными","422","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-21","passed","2026-07-21","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка выхода из аккаунта через бургер меню","1588","logout","Surefire suite","2026-07-21","passed","2026-07-21","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","605","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-07-21","passed","2026-07-21","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Сделать заказ с валидными данными","851","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-07-21","passed","2026-07-21","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Проверить соответствие имени и цены добавленного товара","606","checkAddBucketItem","Surefire suite","2026-07-21","passed","2026-07-21","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Тестовые данные для проверки негативных сценариев оформления заказа","888","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-21","passed","2026-07-21","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка кнопки 'Checkout' на странице 'Корзина'","1940","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-07-21","passed","2026-07-21","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Тестовые данные для проверки негативных сценариев оформления заказа","859","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-21","passed","2026-07-21","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Авторизация с валидными данными","474","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-07-21","passed","2026-07-21","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверить соответствие имени и цены добавленных товаров","688","checkAddBucketSomeItems","Surefire suite","2026-07-21","passed","2026-07-21","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Проверить нажатие кнопки Remove","580","checkRemoveItem","Surefire suite","2026-07-21","passed","2026-07-21","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверка авторизации с невалидными данными","465","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-21","passed","2026-07-21","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","847","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-21","passed","2026-07-21","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
