"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверить нажатие кнопки Remove","894","checkRemoveItem","Surefire suite","2026-06-11","passed","2026-06-11","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверка авторизации с невалидными данными","589","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-11","passed","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","766","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-06-11","passed","2026-06-11","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Сделать заказ с валидными данными","1454","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-06-11","passed","2026-06-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Проверить соответствие имени и цены добавленного товара","797","checkAddBucketItem","Surefire suite","2026-06-11","passed","2026-06-11","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверка авторизации с невалидными данными","606","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-11","passed","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка выхода из аккаунта через бургер меню","1786","logout","Surefire suite","2026-06-11","passed","2026-06-11","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Проверить соответствие имени и цены добавленных товаров","887","checkAddBucketSomeItems","Surefire suite","2026-06-11","passed","2026-06-11","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Тестовые данные для проверки негативных сценариев оформления заказа","1080","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-11","passed","2026-06-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Авторизация с валидными данными","1810","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-06-11","passed","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Тестовые данные для проверки негативных сценариев оформления заказа","1031","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-11","passed","2026-06-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка кнопки 'Checkout' на странице 'Корзина'","813","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-06-11","passed","2026-06-11","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Тестовые данные для проверки негативных сценариев оформления заказа","2051","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-11","passed","2026-06-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка авторизации с невалидными данными","607","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-11","passed","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
