"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","754","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-06-06","passed","2026-06-06","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверка авторизации с невалидными данными","632","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-06","passed","2026-06-06","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","1002","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-06","passed","2026-06-06","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Авторизация с валидными данными","954","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-06-06","passed","2026-06-06","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Сделать заказ с валидными данными","980","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-06-06","passed","2026-06-06","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Проверить нажатие кнопки Remove","681","checkRemoveItem","Surefire suite","2026-06-06","passed","2026-06-06","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверить соответствие имени и цены добавленного товара","725","checkAddBucketItem","Surefire suite","2026-06-06","passed","2026-06-06","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверка авторизации с невалидными данными","531","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-06","passed","2026-06-06","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка кнопки 'Checkout' на странице 'Корзина'","752","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-06-06","passed","2026-06-06","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Проверка авторизации с невалидными данными","549","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-06","passed","2026-06-06","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленных товаров","819","checkAddBucketSomeItems","Surefire suite","2026-06-06","passed","2026-06-06","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Тестовые данные для проверки негативных сценариев оформления заказа","1016","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-06","passed","2026-06-06","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","976","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-06","passed","2026-06-06","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка выхода из аккаунта через бургер меню","1697","logout","Surefire suite","2026-06-06","passed","2026-06-06","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
