"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверить соответствие имени и цены добавленных товаров","753","checkAddBucketSomeItems","Surefire suite","2026-06-23","passed","2026-06-23","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Проверка кнопки 'Checkout' на странице 'Корзина'","695","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-06-23","passed","2026-06-23","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Проверка выхода из аккаунта через бургер меню","1712","logout","Surefire suite","2026-06-23","passed","2026-06-23","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Проверка авторизации с невалидными данными","483","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-23","passed","2026-06-23","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","977","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-23","passed","2026-06-23","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить соответствие имени и цены добавленного товара","2216","checkAddBucketItem","Surefire suite","2026-06-23","passed","2026-06-23","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверить нажатие кнопки Remove","628","checkRemoveItem","Surefire suite","2026-06-23","passed","2026-06-23","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Тестовые данные для проверки негативных сценариев оформления заказа","937","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-23","passed","2026-06-23","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","958","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-06-23","passed","2026-06-23","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка авторизации с невалидными данными","497","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-23","passed","2026-06-23","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Авторизация с валидными данными","561","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-06-23","passed","2026-06-23","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка авторизации с невалидными данными","464","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-06-23","passed","2026-06-23","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","631","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-06-23","passed","2026-06-23","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Сделать заказ с валидными данными","926","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-06-23","passed","2026-06-23","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
