"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка авторизации с невалидными данными","486","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-14","passed","2026-08-14","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить нажатие кнопки Remove","640","checkRemoveItem","Surefire suite","2026-08-14","passed","2026-08-14","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверка авторизации с невалидными данными","469","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-14","passed","2026-08-14","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленного товара","699","checkAddBucketItem","Surefire suite","2026-08-14","passed","2026-08-14","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Проверка кнопки 'Checkout' на странице 'Корзина'","673","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-08-14","passed","2026-08-14","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Проверить соответствие имени и цены добавленных товаров","730","checkAddBucketSomeItems","Surefire suite","2026-08-14","passed","2026-08-14","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Авторизация с валидными данными","1466","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-08-14","passed","2026-08-14","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","613","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-08-14","passed","2026-08-14","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Тестовые данные для проверки негативных сценариев оформления заказа","962","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-14","passed","2026-08-14","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","934","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-14","passed","2026-08-14","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка авторизации с невалидными данными","460","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-14","passed","2026-08-14","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Сделать заказ с валидными данными","856","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-08-14","passed","2026-08-14","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Проверка выхода из аккаунта через бургер меню","1680","logout","Surefire suite","2026-08-14","passed","2026-08-14","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Тестовые данные для проверки негативных сценариев оформления заказа","847","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-14","passed","2026-08-14","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
