"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка выхода из аккаунта через бургер меню","1510","logout","Surefire suite","2026-07-20","passed","2026-07-20","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Тестовые данные для проверки негативных сценариев оформления заказа","759","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-20","passed","2026-07-20","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверить соответствие имени и цены добавленного товара","541","checkAddBucketItem","Surefire suite","2026-07-20","passed","2026-07-20","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Сделать заказ с валидными данными","746","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-07-20","passed","2026-07-20","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","540","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-07-20","passed","2026-07-20","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Проверка кнопки 'Checkout' на странице 'Корзина'","769","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-07-20","passed","2026-07-20","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Проверка авторизации с невалидными данными","395","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить нажатие кнопки Remove","492","checkRemoveItem","Surefire suite","2026-07-20","passed","2026-07-20","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
"Проверить соответствие имени и цены добавленных товаров","604","checkAddBucketSomeItems","Surefire suite","2026-07-20","passed","2026-07-20","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Авторизация с валидными данными","432","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка авторизации с невалидными данными","374","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","752","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-20","passed","2026-07-20","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","727","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-07-20","passed","2026-07-20","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка авторизации с невалидными данными","374","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
